Quote,Author
"""Be the change you wish to see in the world.""",Mahatma Gandhi
"""In three words I can sum up everything I've learned about life: it goes on.""",Robert Frost
"""The only way to do great work is to love what you do.""",Steve Jobs
"""The greatest glory in living lies not in never falling, but in rising every time we fall.""",Nelson Mandela
"""You miss 100% of the shots you don't take.""",Wayne Gretzky
"""The best way to predict the future is to invent it.""",Alan Kay
"""Success is not final, failure is not fatal: It is the courage to continue that counts.""",Winston Churchill
"""Believe you can and you're halfway there.""",Theodore Roosevelt
"""If you look at what you have in life, you'll always have more. If you look at what you don't have in life, you'll never have enough.""",Oprah Winfrey
"""The only true wisdom is in knowing you know nothing.""",Socrates
"""Yam.""",Mariam
